GameID,Week,HomeTeamGamesWon,HomeVsAwayGamesWon,DivisionGame
2009121313,14,7,-1,1
2009121400,14,5,-3,1
2009121700,15,7,-6,1
2009121900,15,13,5,0
2009122003,15,3,1,0
2009122007,15,1,-5,0
2009122002,15,2,-6,0
2009122008,15,6,-1,0
2009122001,15,5,-3,1
2009122004,15,7,1,0
2009122009,15,8,4,1
2009122010,15,10,1,0
2009122006,15,6,-3,0
2009122000,15,7,2,0
2009122005,15,9,3,0
2009122011,15,5,4,0
2009122012,15,5,-6,0
2009122100,15,4,-3,1
2009122500,16,7,-4,0
2009122702,16,3,-2,0
2009122706,16,9,2,0
2009122704,16,7,0,0
2009122709,16,7,-1,1
2009122703,16,9,4,0
2009122700,16,7,2,0
2009122701,16,9,6,0
2009122707,16,13,11,1
2009122705,16,8,2,0
2009122711,16,6,4,0
2009122710,16,9,8,1
2009122712,16,14,7,0
2009122708,16,10,2,0
2009122713,16,4,-5,1
2009122800,16,5,-6,1
2010010309,17,1,-6,1
2010010306,17,7,-1,0
2010010300,17,5,-9,0
2010010305,17,8,-2,0
2010010302,17,4,-3,0
2010010304,17,2,-4,1
2010010310,17,3,-5,1
2010010301,17,7,-6,1
2010010307,17,11,3,0
2010010312,17,8,5,1
2010010303,17,10,-1,1
2010010314,17,12,8,0
2010010313,17,5,-3,0
2010010311,17,10,0,0
2010010315,17,5,-2,0
2010010308,17,8,-2,0
2010090900,1,0,0,0
2010091207,1,0,0,1
2010091200,1,0,0,0
2010091203,1,0,0,1
2010091202,1,0,0,0
2010091201,1,0,0,1
2010091205,1,0,0,0
2010091209,1,0,0,0
2010091204,1,0,0,0
2010091206,1,0,0,0
2010091208,1,0,0,1
2010091211,1,0,0,1
2010091210,1,0,0,0
2010091212,1,0,0,1
2010091300,1,0,0,0
2010091301,1,0,0,1
2010091901,2,1,1,0
2010091904,2,1,0,0
2010091906,2,0,0,0
2010091903,2,0,-1,0
2010091912,2,0,-1,1
2010091907,2,0,-1,0
2010091908,2,0,-1,1
2010091902,2,0,-1,0
2010091905,2,0,-1,0
2010091910,2,0,0,0
2010091909,2,0,-1,0
2010091913,2,0,-1,0
2010091900,2,1,0,0
2010091911,2,0,-1,1
2010091914,2,0,-1,0
2010092000,2,0,-1,0
2010092608,3,2,2,0
2010092600,3,1,0,0
2010092603,3,1,1,1
2010092601,3,0,-1,0
2010092604,3,1,1,1
2010092602,3,2,0,0
2010092606,3,2,1,1
2010092609,3,2,2,0
2010092605,3,0,0,1
2010092610,3,1,0,0
2010092607,3,0,-1,0
2010092612,3,1,0,0
2010092613,3,1,0,0
2010092611,3,1,0,0
2010092614,3,2,1,1
2010092700,3,2,0,1
2010100307,4,1,-1,1
2010100304,4,2,2,1
2010100303,4,2,1,0
2010100301,4,0,-2,1
2010100302,4,3,1,1
2010100300,4,0,-2,1
2010100306,4,2,2,1
2010100305,4,2,2,0
2010100309,4,1,-1,0
2010100308,4,1,-1,1
2010100310,4,2,1,1
2010100311,4,1,-1,0
2010100312,4,1,-2,0
2010100400,4,2,0,1
2010101004,5,0,-2,0
